name,type,n_anthropic/claude-sonnet-4.5,n_deepseek/deepseek-v3.1-terminus,n_google/gemini-2.5-flash,n_meta-llama/llama-4-maverick,n_openai/gpt-5-mini,pooled_count,llm_freq,human_freq,lift,lift_ci_low,lift_ci_high,n_models,unstable
Khan,surname,0,1,0,1,0,2,0.00200,2.581e-04,7.7,2.1,28.1,2,1
Singh,surname,0,0,0,3,0,3,0.00300,3.956e-04,7.6,2.6,22.2,1,1
Lola,first,0,0,0,1,0,1,0.00100,1.319e-04,7.6,1.3,42.8,1,1
Liu,surname,2,0,0,0,0,2,0.00200,2.655e-04,7.5,2.1,27.4,1,1
Marla,first,1,0,0,0,0,1,0.00100,1.337e-04,7.5,1.3,42.2,1,1
Harding,surname,0,0,1,0,0,1,0.00100,1.348e-04,7.4,1.3,41.9,1,1
Higgins,surname,0,2,0,0,0,2,0.00200,2.704e-04,7.4,2.0,26.9,1,1
Adeline,first,0,0,0,0,1,1,0.00100,1.354e-04,7.4,1.3,41.7,1,1
Meredith,first,2,0,0,0,0,2,0.00200,2.710e-04,7.4,2.0,26.8,1,1
Don,first,0,0,2,0,0,2,0.00200,2.724e-04,7.3,2.0,26.7,1,1
Donovan,surname,1,0,0,0,0,1,0.00100,1.369e-04,7.3,1.3,41.2,1,1
Lila,first,0,1,0,0,0,1,0.00100,1.399e-04,7.1,1.3,40.3,1,1
Thompson,surname,0,0,0,13,3,16,0.01600,2.252e-03,7.1,4.4,11.5,2,0
Claire,first,3,0,0,0,1,4,0.00400,5.657e-04,7.1,2.8,18.1,2,1
Kira,first,1,0,0,0,0,1,0.00100,1.422e-04,7.0,1.2,39.7,1,1
Corbin,first,0,0,1,0,0,1,0.00100,1.447e-04,6.9,1.2,39.0,1,1
Dave,first,0,0,0,0,1,1,0.00100,1.448e-04,6.9,1.2,39.0,1,1
Matthews,surname,0,0,0,2,1,3,0.00300,4.449e-04,6.7,2.3,19.7,2,1
Luca,first,0,0,0,0,1,1,0.00100,1.512e-04,6.6,1.2,37.3,1,1
Lucia,first,0,0,0,0,1,1,0.00100,1.515e-04,6.6,1.2,37.2,1,1
Cordova,surname,1,0,0,0,0,1,0.00100,1.535e-04,6.5,1.2,36.8,1,1
Sophie,first,1,0,0,0,1,2,0.00200,3.079e-04,6.5,1.8,23.6,2,1
